"id","ball_num","base_num","subseq_num","frequency"
5394,7,6,30,2
5395,7,6,31,1
5396,7,6,33,2
5397,7,6,35,1
5398,7,6,36,2
5399,7,6,37,1
5400,7,6,38,2
5401,7,6,40,3
5402,7,6,41,2
5403,7,6,42,2
5404,7,6,44,1
5405,7,6,45,2
5406,7,6,46,2
5407,7,6,47,1
5408,7,6,49,1
5409,7,7,1,1
5410,7,7,2,1
5411,7,7,3,2
5412,7,7,4,1
5413,7,7,5,5
5414,7,7,7,2
5415,7,7,8,1
5416,7,7,9,3
5417,7,7,10,1
5418,7,7,11,2
5419,7,7,13,1
5420,7,7,14,2
5421,7,7,16,3
5422,7,7,17,2
5423,7,7,18,2
5424,7,7,19,1
5425,7,7,20,1
5426,7,7,22,1
5427,7,7,23,2
5428,7,7,24,2
5429,7,7,25,1
5430,7,7,26,2
5431,7,7,27,1
5432,7,7,28,2
5433,7,7,30,2
5434,7,7,33,1
5435,7,7,35,2
5436,7,7,36,3
5437,7,7,38,4
5438,7,7,39,2
5439,7,7,40,3
5440,7,7,41,1
5441,7,7,42,5
5442,7,7,43,3
5443,7,7,44,2
5444,7,7,45,3
5445,7,7,46,2
5446,7,7,47,2
5447,7,7,48,2
5448,7,7,49,3
5449,7,8,1,1
5450,7,8,2,1
5451,7,8,3,3
5452,7,8,4,1
5453,7,8,5,3
5454,7,8,6,2
5455,7,8,7,1
5456,7,8,8,3
5457,7,8,12,2
5458,7,8,13,1
5459,7,8,14,2
5460,7,8,16,3
5461,7,8,17,4
5462,7,8,18,3
5463,7,8,19,1
5464,7,8,20,3
5465,7,8,21,4
5466,7,8,22,1
5467,7,8,23,2
5468,7,8,24,3
5469,7,8,25,1
5470,7,8,26,2
5471,7,8,27,2
5472,7,8,28,3
5473,7,8,29,2
5474,7,8,30,3
5475,7,8,32,3
5476,7,8,33,3
5477,7,8,34,1
5478,7,8,36,1
5479,7,8,40,2
5480,7,8,41,4
5481,7,8,42,1
5482,7,8,43,2
5483,7,8,44,1
5484,7,8,45,2
5485,7,8,46,1
5486,7,8,47,2
5487,7,8,48,1
5488,7,8,49,3
5489,7,9,1,4
5490,7,9,2,2
5491,7,9,3,1
5492,7,9,4,1
5493,7,9,5,1
5494,7,9,6,3
5495,7,9,7,3
5496,7,9,8,2
5497,7,9,9,4
5498,7,9,11,1
5499,7,9,12,3
5500,7,9,13,1
5501,7,9,14,3
5502,7,9,16,3
5503,7,9,17,1
5504,7,9,18,3
5505,7,9,20,1
5506,7,9,21,4
5507,7,9,22,3
5508,7,9,23,3
5509,7,9,24,1
5510,7,9,25,3
5511,7,9,26,2
5512,7,9,27,2
5513,7,9,28,4
5514,7,9,29,2
5515,7,9,30,3
5516,7,9,31,2
5517,7,9,32,1
5518,7,9,34,5
5519,7,9,35,1
5520,7,9,36,3
5521,7,9,38,3
5522,7,9,39,1
5523,7,9,40,5
5524,7,9,41,2
5525,7,9,42,2
5526,7,9,43,2
5527,7,9,45,1
5528,7,9,47,2
5529,7,9,48,2
5530,7,9,49,1
5531,7,10,1,4
5532,7,10,2,2
5533,7,10,3,2
5534,7,10,4,1
5535,7,10,6,2
5536,7,10,7,1
5537,7,10,8,1
5538,7,10,9,1
5539,7,10,12,2
5540,7,10,13,2
5541,7,10,14,2
5542,7,10,15,2
5543,7,10,16,4
5544,7,10,17,3
5545,7,10,18,3
5546,7,10,19,3
5547,7,10,20,3
5548,7,10,21,2
5549,7,10,22,1
5550,7,10,25,3
5551,7,10,26,6
5552,7,10,27,1
5553,7,10,28,1
5554,7,10,30,2
5555,7,10,31,3
5556,7,10,32,3
5557,7,10,33,1
5558,7,10,34,3
5559,7,10,35,2
5560,7,10,36,4
5561,7,10,37,1
5562,7,10,41,1
5563,7,10,43,2
5564,7,10,44,1
5565,7,10,45,2
5566,7,10,46,4
5567,7,10,47,1
5568,7,10,48,1
5569,7,10,49,2
5570,7,11,1,1
5571,7,11,2,1
5572,7,11,3,3
5573,7,11,4,1
5574,7,11,5,2
5575,7,11,7,1
5576,7,11,8,3
5577,7,11,9,5
5578,7,11,10,3
5579,7,11,12,4
5580,7,11,13,3
5581,7,11,14,3
5582,7,11,15,1
5583,7,11,16,1
5584,7,11,17,3
5585,7,11,18,3
5586,7,11,20,3
5587,7,11,21,1
5588,7,11,22,3
5589,7,11,23,6
5590,7,11,24,1
5591,7,11,25,4
5592,7,11,26,2
5593,7,11,28,2
5594,7,11,30,1
5595,7,11,31,2
5596,7,11,32,3
5597,7,11,33,1
5598,7,11,34,2
5599,7,11,35,4
5600,7,11,36,1
5601,7,11,37,6
5602,7,11,40,2
5603,7,11,42,3
